time,cpi_mom,cpi_yoy,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,interest_rate,month,year,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std,cpi_mom_diff
2008-06-01,102.14,126.7,102.39333333333333,126.28333333333332,4.626344421219498,4.841822087327094,1.5400000000000063,5.125246425172938,6,2008,101.99833333333333,1.199460737417694,115.08583333333335,6.60587129802433,102.14
2008-07-01,101.13,126.99,101.61,127.29666666666667,4.616406817914079,4.844108343200942,0.28999999999999204,5.1732241047484875,7,2008,102.0175,1.1820254188931962,116.6275,7.069114802498978,101.13
2008-08-01,101.56,128.2,100.95666666666666,127.66333333333331,4.620649756836477,4.853591544486569,1.2099999999999937,4.659987639210755,8,2008,102.09749999999998,1.1075043607550619,118.25166666666667,7.3191974638721575,101.56
2008-09-01,100.18,127.8,100.51666666666667,127.55666666666666,4.606968567929471,4.850466541943434,-0.3999999999999915,5.116126848580501,9,2008,102.07083333333333,1.152408216288939,119.82416666666666,7.159744101995669,100.18
2008-10-01,99.81,126.67,99.74333333333334,126.22666666666665,4.603268378698495,4.841585279495541,-1.1299999999999955,5.14653623664934,10,2008,101.99666666666666,1.2711722101585292,121.2575,6.598103205398663,99.81
2008-11-01,99.24,124.21,99.45666666666666,123.58999999999999,4.5975411588236,4.821973681556102,-2.460000000000008,4.642824290986816,11,2008,101.83333333333333,1.4899379690160373,122.43166666666667,5.61664706407884,99.24
2008-12-01,99.32,119.89,99.62666666666667,120.52666666666666,4.598346960639966,4.786574655719562,-4.319999999999993,5.932887255572378,12,2008,101.53500000000001,1.6104798833098921,123.02666666666669,4.819383840913881,99.32
2009-01-01,100.32,117.48,100.27,117.38,4.608365076884611,4.766268106330419,-2.4099999999999966,5.236916460455894,1,2009,101.36333333333333,1.621970369269493,123.30166666666666,4.338889328625685,100.32
2009-02-01,101.17,114.77,100.44,114.5,4.616802270217799,4.742930125692577,-2.710000000000008,4.404348251398676,2,2009,101.16416666666667,1.4670530654921683,123.22416666666668,4.492594832981779,101.17
2009-03-01,99.83,111.25,100.45,111.74999999999999,4.603468739348334,4.711779921046349,-3.519999999999996,5.328276804316915,3,2009,100.90083333333332,1.3911699349392848,122.545,5.602261718595229,99.83
2009-04-01,100.35,109.23,100.20666666666666,108.68666666666665,4.608664075242347,4.693455750855452,-2.019999999999996,4.5126591648863394,4,2009,100.74666666666667,1.3355035368615955,121.52916666666665,6.801599355142871,100.35
2009-05-01,100.44,105.58,100.44666666666666,106.25,4.609560534289384,4.65946895939547,-3.6500000000000057,5.393542301871226,5,2009,100.4575,0.8894955158556527,119.8975,8.079852749558404,100.44
2009-06-01,100.55,103.94,100.50333333333333,104.27666666666664,4.610655116218661,4.643813809580296,-1.6400000000000006,5.579297789503702,6,2009,100.32499999999999,0.7179706248738983,118.00083333333335,8.961147915847496,100.55
2009-07-01,100.52,103.31,100.43666666666667,103.07333333333332,4.610356712675391,4.637734176861354,-0.6299999999999955,4.5896588408241445,7,2009,100.27416666666666,0.6761718223449679,116.02750000000002,9.398311381210066,100.52
2009-08-01,100.24,101.97,100.46,102.56666666666666,4.607567310587813,4.624678652376135,-1.3400000000000034,5.481688064622161,8,2009,100.16416666666667,0.542040896366016,113.84166666666668,9.360069767934789,100.24
2009-09-01,100.62,102.42,100.41000000000001,102.46,4.611351045063173,4.6290820060344045,0.45000000000000284,5.206390463468249,9,2009,100.20083333333334,0.5578604963010808,111.72666666666667,8.768023860839058,100.62
2009-10-01,100.37,102.99,100.51333333333332,103.25333333333333,4.608863357825709,4.63463189613771,0.5699999999999932,5.411030079997245,10,2009,100.2475,0.5454793554963374,109.75333333333333,7.698631913095592,100.37
