time,cpi_mom,cpi_yoy,oil_price,gold_price,interest_rate,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,month,year,cpi_mom_diff,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std
2015-02-01,99.95,100.34,49.76,1213.1,12.09,99.96666666666668,100.73666666666666,4.604670060946409,4.608564419056107,-0.5999999999999943,2,2015,0.15000000000000568,100.02833333333332,0.2640190534903273,103.36333333333334,1.5974714869177453
2015-03-01,100.15,100.93,47.6,1183.2,12.615,100.08,100.75333333333333,4.606669062111827,4.614427207250769,0.5900000000000034,3,2015,0.20000000000000284,100.0775,0.22017038856278365,103.075,1.7040193127373429
2015-04-01,100.14,100.99,59.63,1182.4,12.86,100.15000000000002,100.95666666666666,4.606569206901798,4.6150215020384655,0.05999999999998806,4,2015,-0.010000000000005116,100.0825,0.22091236436008221,102.78666666666668,1.742502554234907
2015-05-01,100.16,100.95,60.3,1189.8,13.13,100.21666666666665,100.97999999999998,4.606768907351788,4.614625344758847,-0.03999999999999204,5,2015,0.01999999999999602,100.07916666666667,0.21927393964160033,102.47249999999998,1.7016202172154586
2015-06-01,100.35,101.0,59.47,1171.8,13.64,100.21333333333332,100.94999999999999,4.608664075242347,4.61512051684126,0.04999999999999716,6,2015,0.18999999999999773,100.08333333333333,0.22426985909135977,102.14083333333332,1.549524609404939
2015-07-01,100.13,100.9,47.12,1095.1,14.13,100.13666666666666,100.83666666666666,4.606469341719712,4.6141299273595635,-0.09999999999999432,7,2015,-0.21999999999999886,100.075,0.22014458059085162,101.80416666666667,1.3057736009621663
2015-08-01,99.93,100.61,49.2,1132.5,14.13,99.95,100.50333333333333,4.604469940873698,4.611251656303959,-0.29000000000000625,8,2015,-0.19999999999998863,100.05083333333334,0.21869274142365056,101.49583333333332,1.0770959131203703
2015-09-01,99.79,100.0,45.09,1115.2,14.13,99.94333333333334,100.20333333333332,4.603067977896221,4.605170185988092,-0.6099999999999994,9,2015,-0.14000000000000057,100.0,0.2002725415750938,101.19416666666666,0.9241650613424275
2015-10-01,100.11,100.0,46.59,1141.4,14.14,99.99000000000001,100.11333333333333,4.606269581431392,4.605170185988092,0.0,10,2015,0.3199999999999932,100.0,0.2002725415750938,100.925,0.7265672714896997
2015-11-01,100.07,100.34,41.65,1065.3,14.14,100.06666666666666,100.31333333333332,4.605869941102364,4.608564419056107,0.3400000000000034,11,2015,-0.04000000000000625,100.02833333333335,0.18180075674040205,100.73666666666668,0.5150345678307359
2015-12-01,100.02,100.6,37.04,1060.2,14.135,100.02999999999999,100.57999999999998,4.605370165990758,4.611152257665639,0.2599999999999909,12,2015,-0.04999999999999716,100.05000000000001,0.16124515496558864,100.63333333333333,0.38031884549994427
2016-01-01,100.0,100.8,33.62,1116.4,14.13,100.14666666666666,100.89333333333332,4.605170185988092,4.613138355637268,0.20000000000000284,1,2016,-0.01999999999999602,100.06666666666668,0.14227587371830713,100.62166666666666,0.3721151662720608
2016-02-01,100.42,101.28,33.75,1234.4,14.146,100.33,101.25999999999999,4.609361390606559,4.617888958395866,0.480000000000004,2,2016,0.4200000000000017,100.10583333333334,0.16935483638196105,100.7,0.40492423533745453
2016-03-01,100.57,101.7,38.34,1235.6,14.131,100.44,101.62333333333333,4.610854002456389,4.622027303054514,0.4200000000000017,3,2016,0.14999999999999147,100.14083333333333,0.2162262423451483,100.76416666666665,0.4955521866533889
2016-04-01,100.33,101.89,45.92,1290.5,14.13,100.48,101.95666666666666,4.608464752937522,4.6238937999861935,0.18999999999999773,4,2016,-0.23999999999999488,100.15666666666668,0.22300971578219417,100.83916666666666,0.5916303872786625
